"V1","V2","V3","V4","V5","V6"
"Fecha","Hora","Temperatura","Radiacion global","Velocidad de viento","Wh"
"2021-03-23","0","8.8","0","2.8","0"
"2021-03-23","1","8.7","0","3","0"
"2021-03-23","2","7.7","0","3.4","0"
"2021-03-23","3","7.5","0","2.2","0"
"2021-03-23","4","6.7","0","1.2","0"
"2021-03-23","5","6.6","0","2.8","0"
"2021-03-23","6","7.2","64.9146131368745","3","277.710716468717"
"2021-03-23","7","8.9","289.088328024447","2","1196.76571771998"
"2021-03-23","8","11.8","537.791421028631","2.1","2135.85928361037"
"2021-03-23","9","14.1","754.922643814955","0.9","2863.95299816896"
"2021-03-23","10","15.6","919.111983124613","3.2","3455.26576581405"
"2021-03-23","11","17.8","1012.21061767049","3.3","3726.6145744009"
"2021-03-23","12","18.7","1029.65137451453","4","3789.48540913982"
"2021-03-23","13","19","962.844836388127","5.9","3614.5201458033"
"2021-03-23","14","19.1","814.145584012315","6.8","3111.34205986305"
"2021-03-23","15","19.1","607.83290634844","5.1","2345.77543149648"
"2021-03-23","16","18","351.853668677177","5.4","1398.90639030346"
"2021-03-23","17","17","99.9510606416756","5.3","408.161721548743"
"2021-03-23","18","15.4","0","2.1","0"
"2021-03-23","19","14.1","0","3","0"
"2021-03-23","20","13.3","0","2.3","0"
"2021-03-23","21","13.3","0","2.3","0"
"2021-03-23","22","12.5","0","1","0"
"2021-03-23","23","-","0","-","0"
