"idema","lon","fint","prec","alt","vmax","vv","dv","lat","dmax","ubi","hr","tamin","ta","tamax","pres","stdvv","ts","pres_nmar","tpr","vis","stddv","inso","tss5cm","psoltp","pliqt","rviento","vmaxu","dvu","pacutp","vvu","stdvvu","stddvu","dmaxu","tss20cm","geo925","nieve","geo700","geo850.value","geo850.present"
"0009X",0.963335,"2021-03-23T00:00:00",0,406,7.3,4,258,41.213894,242,"ALFORJA",60,7.7,7.9,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0016A",1.178894,"2021-03-23T00:00:00",0,71,4.6,3.4,340,41.14972,350,"REUS/AEROPUERTO",86,8.2,8.3,9,1010.4,0.3,8.1,1019.7,6.1,30,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0034X",1.260838,"2021-03-23T00:00:00",0,233,NA,NA,NA,41.293053,NA,"VALLS",88,4.8,4.8,6.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0042Y",1.249167,"2021-03-23T00:00:00",0,55,3.1,1.8,325,41.123894,332,"TARRAGONA  FAC. GEOGRAFIA",89,9.2,9.2,9.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0061X",1.519269,"2021-03-23T00:00:00",0,632,2.2,1.3,280,41.417053,290,"PONTONS",87,4.9,4.9,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0066X",1.676942,"2021-03-23T00:00:00",0,177,1.6,0.7,24,41.33028,342,"VILAFRANCA DEL PENEDÈS",87,9.1,9.1,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0073X",1.852626,"2021-03-23T00:00:00",0,58,0.8,0.3,345,41.243786,345,"SITGES-VALLCARCA",95,8.7,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0076",2.069995,"2021-03-23T00:00:00",0,4,4.1,2,10,41.29278,10,"BARCELONA/AEROPUERTO",86,9.2,9.2,9.8,1019.2,0.4,2.5,1019.8,7,21,143,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0092X",1.857494,"2021-03-23T00:00:00",0,682,3.1,0.9,335,42.101387,85,"BERGA  INSTITUTO",62,5,5,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0106X",1.872504,"2021-03-23T00:00:00",0,361,2.2,1.2,342,41.866386,337,"BALSARENY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0114X",2.026561,"2021-03-23T00:00:00",0,700,1.6,0.7,321,42.007057,330,"PRATS DE LLUÇANÈS",86,1.2,1.2,2.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0120X",2.09539,"2021-03-23T00:00:00",0,742,2.2,0.8,49,41.81328,70,"MOIÀ",82,5.1,5.2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0149X",1.84028,"2021-03-23T00:00:00",0,291,2.8,1.1,64,41.71988,80,"MANRESA",68,6.5,6.5,7.8,985.1,NA,4.7,1020.5,1.1,20,NA,0,11.3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0158X",1.839223,"2021-03-23T00:00:00",0,738,NA,NA,NA,41.594444,NA,"MONTSERRAT",87,6.4,6.4,6.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0171X",1.617778,"2021-03-23T00:00:00",0,313,3.4,1.1,279,41.578888,299,"IGUALADA",78,7.1,7.8,7.8,NA,NA,NA,NA,4.1,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0194D",1.885,"2021-03-23T00:00:00",0,647,NA,NA,NA,41.40819,NA,"CORBERA  PIC D?AGULLES ",100,6.4,6.5,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0201D",2.200001,"2021-03-23T00:00:00",0,6,3.6,1.8,262,41.390556,276,"BARCELONA CMT",90,11.4,11.4,11.6,NA,NA,NA,NA,9.8,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0201X",2.173886,"2021-03-23T00:00:00",0,5,1.8,0.9,273,41.374996,275,"BARCELONA  DRASSANES",81,11.6,11.6,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0222X",2.168412,"2021-03-23T00:00:00",0,175,3.8,2.5,302,41.612663,305,"CALDES DE MONTBUI",89,6.7,7.4,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0244X",2.362637,"2021-03-23T00:00:00",0,56,2.5,1,311,41.504894,310,"VILASSAR DE DALT",87,10.1,10.4,10.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
